,type,2nd type,3rd type,Source Notes (things to know?),,,,
100percentfedup.com,bias,,,,,,,
21stcenturywire.com,conspiracy,,,,,,,
24newsflash.com,fake,,,,,,,
365usanews.com,bias,conspiracy,,,,,,
4threvolutionarywar.wordpress.com,bias,conspiracy,,,,,,
70news.wordpress.com,fake,,,,,,,
82.221.129.208,conspiracy,fake,, ,,,,
aanirfan.blogspot.co.uk,unreliable,,,0,,,,
abcnews.com.co,fake,,,,,,,
abcnewsgo.co,fake,,,,,,,
abeldanger.net,conspiracy,,,,,,,
abovetopsecret.com,conspiracy,rumor,,,,,,
abriluno.com,satire,fake,,,,,,
aceflashman.wordpress.com,satire,,,,,,,
Acting-Man.com,unreliable,conspiracy,,publishes articles denying climate change,,,,
activistpost.com,conspiracy,,,,,,,
addictinginfo.org,clickbait,unreliable,,,,,,
adobochronicles.com,satire,,,,,,,
advocate.com,political,credible,,,,,,
aheadoftheherd.com,bias,,,"false quotes regarding banking, heavily promotes businesses advertising on site/ buying of precious metals",,,,
ahtribune.com,unreliable,bias,,,,,,
allnewspipeline.com,unreliable,conspiracy,,,,,,
Alt-Market.com,conspiracy,bias, ,,,,,
alternativemediasyndicate.com,fake,,,http://alternativemediasyndicate.com/2017/02/02/police-raid-standing-rock-camp-destroy-tipis-burning-remains/,,,,
alternet.org,political,credible,,,,,,
americanblog.com,unknown,,,domain for sale,,,,
americanfreepress.net,conspiracy,bias,,,,,,
AmericanKabuki.blogspot.com,junksci,,,,,,,
americanlookout.com,bias,clickbait,,,,,,
americannews.com,fake ,,,,,,,
americannewsx.com,bias,clickbait,satire,,,,,
americanoverlook.com,fake,,,,,,,
americanpatriotdaily.com,bias,clickbait,bias,,,,,
americanprogress.org,political,credible,,,,,,
americanreviewer.com,conspiracy,,,,,,,
americanthinker.com,bias, ,,"sites both credible/not credible sources, mix of opinion/'fact'",,,,
americantoday.news,rumor,bias,,,,,,
americasfreedomfighters.com,bias,clickbait,,,,,,
AmmoLand.com,bias,,, ,,,,
amplifyingglass.com,clickbait,satire,,,,,,
amren.com,hate,conspiracy,,,,,,
amtvmedia.com,rumor,unreliable,,,,,,
amusmentic.com,clickbait,rumor,,,,,,
ancient-code.com,junksci,unreliable,,,,,,
angrypatriotmovement.com,conspiracy,,,,,,,
anonews.co,unreliable,,,,,,,
anonhq.com,unreliable,,,,,,,
anonnews.co,unreliable,,,,,,,
anotherdayintheempire.com,bias,conspiracy,,,,,,
antiwar.com,bias,unreliable,,site is biased but very open about bias and source,,,,
antoniusaquinas.wp.com,bias,conspiracy,,,,,,
asia-pacificresearch.com,unreliable,satire,,,,,,
assassinationscience.com,conspiracy,junksci,,,,,,
associatedmediacoverage.com,satire,,,,,,,
attn.com,political,clickbait,,,,,,
AutomaticEarth.com,unreliable,,,links to MSM sources and unreliable sources,,,,
automotostar.com,clickbait,,,,,,,
awarenessact.com,conspiracy,junksci,,,,,,
awazetribune.com,satire,,,,,,,
awdnews.com,conspiracy,,,twitter account deleted?,,,,
awm.com,unreliable,bias,clickbait,,,,,
BadSquad.com,unknown,,,website down,,,,
baptistnews.com,political,,,circulates generally reliable information from a p.o.v. but not at the expense of informational integrity ,,,,
barenakedislam.com,hate,,,,,,,
BB4SP.com,conpiracy,bias,bias,,,,,
beehivebugle.com,satire,,,,,,,
beforeitsnews.com,fake,conspiracy,rumor,,,,,
betootaadvocate.com,satire,,,,,,,
bients.com,clickbait,,,,,,,
bigamericannews.com,satire,fake,,,,,,
bigbluedimension.com,rumor,bias,,,,,,
bigbluevision.com,hate,,,,,,,
bigbluevision.org,clickbait,bias,,,,,,
bighairynews.com,fake,conspiracy,,,,,,
bignuggetnews.com,bias,rumor,,,,,,
bigpzone.com,,,,redirects to http://therundownlive.com/ (MZ 12/2),,,,
bipartisanreport.com,clickbait,bias ,,,,,,
blackagendareport.com,unreliable,,,anon submissions,,,,
blackgenocide.org,conspiracy,bias,hate,,,,,
blacklistednews.com,clickbait,unreliable,,,,,,
bluenationreview.com,clickbait,unreliable,,,,,,
Boilingfrogspost.com,unreliable ,,,"links to natural news, blacklist news, some conspiracy sites",,,,
borowitzreport.com,satire,,,,,,,
bostonleader.com,fake,,,,,,,
breaking911.com,clickbait,unreliable,,,,,,
breakpoint.org,unreliable,,,,,,,
breitbart.com,political,unreliable,bias,,,,,
BrotherJohnF.com,bias,conspiracy,,,,,,
BullionBullsCanada.com,conspiracy,,,"The ""one"" bank",,,,
burrardstreetjournal.com,satire,,,,,,,
buzzfeedusa.com,fake,rumor,,,,,,
bvanews.com,unreliable,bias,fake,seems like a combination of totally fake and unreliable reports of 'real' news,,,,
callthecops.net,satire,,,,,,,
canadafreepress.com,conspiracy,bias, ,,,,,
cap-news.com,fake , ,,,,,,
cato.org/blog,political,credible,,,,,,
cbsnews.com.co,fake,,,,,,,
celebtricity.com,satire,,,,,,,
centerforsecuritypolicy.org,bias,conspiracy,,http://www.bbc.com/news/world-us-canada-35037943 ; ,,,,
channel-7-news.com,fake,,,,,,,
charismanews.com,bias,,,"minimal factual reporting despite being ""news'",,,,
chaser.com.au,satire,,,,,,,
checkoutthehealthyworld.com,junksci,clickbait,,,,,,
chicksontheright.com,clickbait,bias,,,,,,
christianfightback.com,hate,bias,,,,,,
christianpost.com,credible,political,,,,,,
christiantimesnewspaper.com,rumor,bias,fake,https://www.nytimes.com/2017/01/18/us/fake-news-hillary-clinton-cameron-harris.html?_r=1&mtrref=t.co&gwh=1CC9755BA757D7782D8A46A6F6FBF22E&gwt=pay,,,,
christwire.org,satire,,,,,,, 
chronicle.su,satire, ,,,,,,
chroniclesmagazine.org,political,,,"from what I gather, like the opposite of Jacobin (paleoconservative) ",,,,
citizensunited.org,bias,,,loaded language etc.,,,,
city-journal.org,political,,,,,,,
cityworldnews.com,fake,,,,,,,
civictribune.com,fake,,,,,,,
clashdaily.com,fake,conspiracy,bias,,,,,
clickhole.com,satire,,,,,,,
cnnnext.com,unreliable,,,basically an RT video channel,,,,
CNSNews.com,unreliable,bias,,The news arm of Media Research Center (a conservative org that is frequently criticized for use of selective evidence) ,,,,
coasttocoastam.com,unreliable ,,,,,,,
collective-evolution.com,junksci,,,,,,,
collectivelyconscious.net,junksci,conspiracy,,,,,,
ComingDepression.com,unknown,,,website empty,,,,
commentarymagazine.com,political,,,,,,,
commondreams.org,political,clickbait,,,,,,
concisepolitics.com,conspiracy,hate,,,,,,
consciouslifenews.com,junksci, ,,,,,,
conservapedia.com,bias, , ,,,,,
conservativebyte.com,fake,bias,,,,,,
conservativedailypost.com,fake,unreliable,,This website is a weird mix of outright fake news and some stuff that looks more credible. ,,,,
conservativefiringline.com,bias,conspiracy,clickbait,,,,,
conservativefrontline.com,unknown,,,website down,,,,
conservativeheadlines.com,unknown,,,website down,,,,
conservativehq.com,bias,,,http://conservativehq.com/article/24945-f-bomb-opposition-president-trump,,,,
conservativeinfidel.com,fake,conspiracy,,,,,,
conservativeoutfitters.com,unreliable,clickbait,,,,,,
conservativepapers.com,bias,,,"incorrect/uncited data, citing other sources labeled as bias",,,,
conservativerefocus.com,conspiracy,,,,,,,
conservativereview.com,political,,,,,,,
conservativespirit.com,bias,,,,,,,
conservativestate.com,bias,,,"links to other borderline fake, but mostly just propagandistic websites",,,,
conservativetribune.com,bias,conspiracy,unreliable,,,,,
consortiumnews.com,credible,,,The authors on this website are pretty credible and the articles appear well researched,,,,
conspiracyplanet.com,conspiracy,,,,,,,
conspiracywire.com,conspiracy,,,,,,,
corbettreport.com,conspiracy,bias,,,,,,
corbettreport.com,conspiracy,,,,,,,
countdowntozerotime.com,conspiracy, ,,,,,,
countercurrentnews.com,bias,,,,,,,
countercurrents.org,political,unreliable,,This site is pretty explicit about it's p.o.v. and is coming from a political perspective but doesn't fit under how we are defining 'bias',,,,
counterinformation.wordpress.com,political,,,,,,,
counterjihad.com,bias,,,,,,,
counterpsyops.com,conspiracy,,,,,,,
counterpunch.com,political,,,explicit POV - legit authors,,,,
counterpunch.org,political,,,explicit POV - legit authors,,,,
cowgernation.com,bias,conspiracy,,,,,,
creambmp.com,satire,fake,,,,,,
cryptogon.com,conspiracy,unreliable,,copy-pasted commentary from various news & 'news' sources,,,,
crystalair.com,satire,,,redirects to http://www.cap-news.com/,,,,
dailybuzzlive.com,fake,,,,,,,
dailycaller.com,political,clickbait,bias,a weird mix of info. they link to extremely biased sites (as sources) and more credible/balanced sources,,,,
dailycurrant.com,satire,,,,,,,
dailydiscord.com,satire,,,,,,,
dailyheadlines.com,fake, ,,,,,,
dailyheadlines.net,fake, ,,,,,,
dailyken.com,hate,,,,,,,
dailykos.com,political,clickbait,credible,,,,,
dailyleak.org,parody,fake,,,,,,
dailynewsbin.com,bias,clickbait,,,,,,
dailynewspolitic.com,unknown,,,domain for sale,,,,
dailyoccupation.com,conspiracy,bias,,,,,,
dailypolitics.info,unknown,,,website now down,,,,
dailypoliticsusa.com,bias,,,,,,,
dailysignal.com,bias,,,,,,,
dailysquib.co.uk,satire,,,,,,,
dailystormer.com,hate,conspiracy,bias,pretty well known neo-nazi site,,,,
dailytelegraph.com.au,bias,rumor,,australian tabloid mag,,,,
dailywire.com,bias,,,,,,,
dandygoat.com,satire,,,,,,,
darkmoon.me,hate,bias,,,,,,
darkpolitricks.com,bias,conspiracy,,,,,,
dataasylum.com,conspiracy,junksci,,,,,,
DaveJanda.com,unreliable,,,,,,,
davidduke.com,hate,,,,,,,
davidstockmanscontracorner.com,political,,,,,,,
davidwolfe.com,conspiracy,,,,,,,
dcclothesline.com,conspiracy,junkscience,,,,,,
dcgazette.com,fake,,,,,,,
dcleaks.com,unreliable,,,,,,,
DeadLineLive.info,political,conspiracy,,,,,,
DeadlyClear.wordpress.com,unknown,,,personal blog that comments on news stories and blog posts,,,,
debunkingskeptics.com,unknown,,,website down,,,,
defenddemocracy.press,bias,political,,"editorial board as stated on about us seem to be legitimate academics, and originally authored content byline are academics, although not able to find a clear link between edu pages and these authors' work on this website. Many 3rd party articles are linked, sources provided. These articles are aggregated from other more clearly biased sites i.e. world socialist web site (wswg.org), rt.com, sputniknews.com.",,,,
delectabledietofpics.net,unknown,,,website now down,,,,
dennismichaellynch.com,political,,,,,,,
denverguardian.com,fake,,,,,,,
departed.co,fake,,,redircts to dcposts.com ,,,,
der-postillon.com,satire,,,German language site,,,,
derfmagazine.com,satire,,,,,,,
dineal.com,junksci,,,,,,,
