,type,2nd type,3rd type,Source Notes (things to know?),,,Investigated?,
100percentfedup.com,bias,,,,,,,
21stcenturywire.com,conspiracy,,,,21stcenturywire,21stCenturyWire.com,TRUE,
24newsflash.com,fake,,,,24newsflash,Abcnews.com.co,FALSE,
365usanews.com,bias,conspiracy,,,365usanews,ActivistPost.com,FALSE,
4threvolutionarywar.wordpress.com,bias,conspiracy,,,4threvolutionarywar,AddictingInfo,FALSE,
70news.wordpress.com,fake,,,,70news,AmericanNews.com,FALSE,
82.221.129.208,conspiracy,fake,, ,,,,
aanirfan.blogspot.co.uk,unreliable,,,0,aanirfan,AnonNews.co,FALSE,
abcnews.com.co,fake,,,,abcnews,AssociatedMediaCoverage,TRUE,
abcnewsgo.co,fake,,,,abcnewsgo,BeforeItsNews.com,FALSE,
abeldanger.net,conspiracy,,,,abeldanger,BeingLiberal,FALSE,
abovetopsecret.com,conspiracy,rumor,,,abovetopsecret,BigAmericanNews.com,FALSE,
abriluno.com,satire,fake,,,abriluno,BigPZone.com,FALSE,
aceflashman.wordpress.com,satire,,,,aceflashman,BipartisanReport,FALSE,
Acting-Man.com,unreliable,conspiracy,,publishes articles denying climate change,,,,
activistpost.com,conspiracy,,,,activistpost,BizPacReview,TRUE,
addictinginfo.org,clickbait,unreliable,,,addictinginfo,BlueNationReview,TRUE,
adobochronicles.com,satire,,,,adobochronicles,Breitbart,FALSE,
advocate.com,political,reliable,,,,,,
aheadoftheherd.com,bias,,,"false quotes regarding banking, heavily promotes businesses advertising on site/ buying of precious metals",,,,
ahtribune.com,unreliable,bias,,,ahtribune,CalltheCops,FALSE,
allnewspipeline.com,unreliable,conspiracy,,,allnewspipeline,ChristWire.org,FALSE,
Alt-Market.com,conspiracy,bias, ,,,,,
alternativemediasyndicate.com,fake,,,http://alternativemediasyndicate.com/2017/02/02/police-raid-standing-rock-camp-destroy-tipis-burning-remains/,,,,
alternet.org,political,reliable,,,,,,
americanblog.com,unknown,,,domain for sale,,,,
americanfreepress.net,conspiracy,bias,,,,,,
AmericanKabuki.blogspot.com,junksci,,,,,,,
americanlookout.com,bias,clickbait,,,americanlookout,CivicTribune.com,FALSE,
americannews.com,fake,,,,americannews,ClickHole.com,TRUE,
americannewsx.com,political,bias,satire,,,,,
americanoverlook.com,fake,,,,,,,
americanpatriotdaily.com,bias,clickbait,bias,,,,,
americanprogress.org,political,reliable,,,,,,
americanreviewer.com,conspiracy,,,,,,,
americanthinker.com,bias, ,,"sites both reliable/not reliable sources, mix of opinion/'fact'",,,,
americantoday.news,rumor,bias,,,americantoday,CoastToCoastAM.com,FALSE,
americasfreedomfighters.com,bias,clickbait,,,americasfreedomfighters,CollectiveEvolution,FALSE,
AmmoLand.com,bias,,, ,,,,
amplifyingglass.com,clickbait,satire,,,amplifyingglass,ConsciousLifeNews.com,FALSE,
amren.com,hate,conspiracy,,,amren,ConservativeOutfitters.com,FALSE,
amtvmedia.com,rumor,unreliable,,,amtvmedia,ConspiracyWire(WideAwakeAmerica.com),FALSE,
amusmentic.com,clickbait,rumor,,,amusmentic,CountdownToZeroTime.com,FALSE,
ancient-code.com,junksci,unreliable,,,ancient-code,CounterPsyOps.com,FALSE,
angrypatriotmovement.com,conspiracy,,,,,,,
anonews.co,unreliable,,,,anonews,*WebsiteRemoved*(temporarily),FALSE,
anonhq.com,unreliable,,,,anonhq,CreamBMP.com,hiya,
anonnews.co,unreliable,,,,anonnews,DailyBuzzLive.com,TRUE,
anotherdayintheempire.com,bias,conspiracy,,,,,,
antiwar.com,bias,unreliable,,site is biased but very open about bias and source,antiwar,DailyCurrant.com,FALSE,
antoniusaquinas.wp.com,bias,conspiracy,,,,,,
asia-pacificresearch.com,unreliable,satire,,,asia-pacificresearch,*WebsiteRemoved*(temporarily),FALSE,
assassinationscience.com,conspiracy,junksci,,,assassinationscience,DailyWire,FALSE,
associatedmediacoverage.com,satire,,,,associatedmediacoverage,DCClothesLine.com,TRUE,
attn.com,political,clickbait,,,,,,
AutomaticEarth.com,unreliable,,,links to MSM sources and unreliable sources,,,,
automotostar.com,clickbait,,,,automotostar,DCGazette.com,FALSE,
awarenessact.com,conspiracy,junksci,,,,,,
awazetribune.com,satire,,,,,,,
awdnews.com,conspiracy,,,twitter account deleted?,awdnews,DerfMagazine.com,FALSE,
awm.com,unreliable,bias,clickbait,,,,,
BadSquad.com,unknown,,,website down,,,,
baptistnews.com,political,,,circulates generally reliable information from a p.o.v. but not at the expense of informational integrity ,,,,
barenakedislam.com,hate,,,,barenakedislam,DuhProgressive.com,FALSE,
BB4SP.com,conspiracy,bias,bias,,,,,
beehivebugle.com,satire,,,,beehivebugle,Embols.com,FALSE,
beforeitsnews.com,fake,conspiracy,rumor,,beforeitsnews,EmpireHerald,TRUE,
betootaadvocate.com,satire,,,,betootaadvocate,Endingthefed.com,FALSE,
bients.com,clickbait,,,,bients,EnduringVision.com,FALSE,
bigamericannews.com,satire,fake,,,bigamericannews,FPRNradio.com,TRUE,
bigbluedimension.com,rumor,bias,,,bigbluedimension,TheFreeThoughtProject,FALSE,
bigbluevision.com,hate,,,,bigbluevision,GeoEngineeringWatch.org,FALSE,
bigbluevision.org,clickbait,bias,,,bigbluevision,*WebsiteRemoved*(temporarily),FALSE,
bighairynews.com,fake,conspiracy,,,,,,
bignuggetnews.com,bias,rumor,,,bignuggetnews,GovtSlaves.info,FALSE,
bigpzone.com,unknown,,,redirects to http://therundownlive.com/ (MZ 12/2),bigpzone,GulagBound.com,TRUE,
bipartisanreport.com,clickbait,bias,,,bipartisanreport,HangTheBankers.com,TRUE,
blackagendareport.com,unreliable,,,anon submissions,blackagendareport,HumansAreFree.com,FALSE,
blackgenocide.org,conspiracy,bias,hate,,,,,
blacklistednews.com,clickbait,unreliable,,,blacklistednews,Huzlers,FALSE,
bluenationreview.com,clickbait,unreliable,,,bluenationreview,IfYouOnlyNews,TRUE,
Boilingfrogspost.com,unreliable,,,"links to natural news, blacklist news, some conspiracy sites",,,,
